Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
31-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 31, 2011"
7-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 7, 2011"
14-Sep-11,0,0,0,0,0,0," Fearnley Weekly Report pdf dated September 14, 2011"
21-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 21, 2011"
28-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 28, 2011"
5-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 5, 2011"
12-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 12, 2011"
19-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 19, 2011 ( KSS Line 1 35000 2013)"
26-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 26, 2011 (dem LPG 11700)"
2-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 2, 2011"
9-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 9, 2011"
16-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 16, 2011"
23-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 23, 2011"
30-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 30, 2011"
7-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 7, 2011 ( Geogas 1+1+1  35000 2013)"
14-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 14, 2011"
21-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 21, 2011"
28-Dec-11,0,0,0,0,0,0,missing
4-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 4, 2012 "
11-Jan-12,0,0,1,"25,854",0,0,"Fearnley Weekly Report pdf dated January 11, 2012 ( Dem 11 GC's 77078, 65960, 65015, 64919, 36241, 25854, 18886, 18886, 18611, 18042, 10151)"
18-Jan-12,0,0,4,"114,025",0,0,"Fearnley Weekly Report pdf dated January 18, 2012 ( DEM 11 GC's 66713, 52450, 47315, 42897, 37490, 34111, 29159, 25855, 24900, 19786, 5792 / 2 LPGs 9095, 5700)"
25-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January  25, 2012 ( Evergas 4 12/17000 2013 / Pertamina 1 3500 2013) ( Dem 10 GC's 170808, 145856, 86722, 75594, 64150, 63883, 63395, 45090, 41216, 37696)"
1-Feb-12,0,0,5,"140,185",0,0,"Fearnley Weekly Report pdf dated February 1, 2012 ( Demolition GC's 164100, 75470, 66732, 63868, 31247, 29617, 29129, 26223, 23969, 19310, 18982, 18270, 17520) "
8-Feb-12,0,0,1,"28,097",0,0,"Fearnley Weekly Report pdf dated February 8, 2012 ( Dem GC's 71240, 69001, 68180, 58412, 37636, 28097) "
15-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 15, 2012"
22-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 22, 2012"
29-Feb-12,0,0,0,0,0,0,missing
7-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 7, 2012"
14-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 14, 2012 ( Dem GC 19943, 14930 / LPG 7656)"
21-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 21, 2012"
28-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 28, 2012 ( Vafias, 2+2 5000 2013-2014 / Vafias 2+2 6500 2013-2014 / Brave Marine 2+2 5000 2014) ( Demolition GC 44895 ) "
4-Apr-12,0,0,0,0,0,0,missing
11-Apr-12,0,0,0,0,6,"132,000","Fearnley Weekly Report pdf dated April 11, 2012 (Navigator 2014 2+4)"
18-Apr-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 18, 2012"
25-Apr-12,0,0,1,"24,432",0,0,"Fearnley Weekly Report pdf dated April 25, 2012 ( Jaegers Group 2 2700 2013) (Demolition 1 GC 24432)"
2-May-12,0,0,0,0,6,"132,000","Fearnley Weekly Report pdf dated May 2, 2012 ( Demolition 1 GC 11381) ( Ultragas 2+4 22000 2014 / Exmar 4 38000 2014) "
