Sector:,Liquid Propane Gas (LPG),,LGC Fully Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,LGC-Fully Refrigerated,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/LGC_FR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry 57,000 CBM.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
10-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 6, 2008"
17-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 13, 2008"
24-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 20, 2008"
31-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 27, 2008"
7-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 3, 2008"
14-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 10, 2008"
21-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 17, 2008"
28-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 24, 2008"
5-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 1, 2008"
12-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 8, 2008"
19-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 15, 2008"
26-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 22, 2008"
2-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 29, 2008"
9-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 5, 2008"
16-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 12, 2008"
23-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 19, 2008"
30-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 26, 2008"
7-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 3, 2008"
14-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 10, 2008"
21-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 17, 2008"
28-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 24, 2008"
